KOTA;TAHUN;TPAK;TPT
Banggai Kepulauan;2018;70,18;3,6
Banggai Kepulauan;2019;73,66;2
Banggai Kepulauan;2020;72,97;2,47
Banggai Kepulauan;2021;71,98;2,95
Banggai Kepulauan;2022;74,63;1,48
Banggai Kepulauan;2023;72,76;1,56
Banggai Kepulauan;2024;73,48;1,55
Banggai Kepulauan;2025;73,35;1,67
Banggai;2018;71,49;3
Banggai;2019;67,11;2,18
Banggai;2020;69,79;2,42
Banggai;2021;71,8;3,57
Banggai;2022;73,48;3,09
Banggai;2023;71,7;3,12
Banggai;2024;71,7;3,11
Banggai;2025;74,74;3,07
Morowali;2018;60,8;2,89
Morowali;2019;62,96;2,97
Morowali;2020;64,7;5,21
Morowali;2021;63,75;5,08
Morowali;2022;60,74;3,2
Morowali;2023;58,52;2,84
Morowali;2024;61,49;2,84
Morowali;2025;65,87;2,81
Poso;2018;75,48;2,47
Poso;2019;72,6;2,18
Poso;2020;74,78;2,39
Poso;2021;73,54;2,47
Poso;2022;72,41;1,68
Poso;2023;71,07;1,67
Poso;2024;68,65;1,77
Poso;2025;70,67;1,76
Donggala;2018;63,82;2,85
Donggala;2019;65,69;2,76
Donggala;2020;63,93;2,58
Donggala;2021;67,47;3,5
Donggala;2022;72,03;2,84
Donggala;2023;66,57;2,79
Donggala;2024;68,42;2,79
Donggala;2025;69,88;2,78
Tolitoli;2018;66,57;3,18
Tolitoli;2019;62,38;3,1
Tolitoli;2020;65,95;3,74
Tolitoli;2021;64,04;3,13
Tolitoli;2022;64,7;3,31
Tolitoli;2023;68,8;3,12
Tolitoli;2024;68,91;3,11
Tolitoli;2025;68,96;3,09
Buol;2018;67,02;4,57
Buol;2019;67,14;3,01
Buol;2020;69,75;4,36
Buol;2021;67,52;3,64
Buol;2022;69,18;3,07
Buol;2023;69,43;3,14
Buol;2024;70,5;3,13
Buol;2025;72,38;3,11
Parigi Moutong;2018;72,05;2,7
Parigi Moutong;2019;68,3;2,36
Parigi Moutong;2020;72,5;2,7
Parigi Moutong;2021;68,82;2,97
Parigi Moutong;2022;74,05;1,71
Parigi Moutong;2023;73,3;2,11
Parigi Moutong;2024;74,68;2,1
Parigi Moutong;2025;76,58;2,1
Tojo Una-una;2018;76,58;3,74
Tojo Una-una;2019;78,69;2,92
Tojo Una-una;2020;75,33;2,84
Tojo Una-una;2021;74,86;3,44
Tojo Una-una;2022;68,47;3,05
Tojo Una-una;2023;75,06;2,83
Tojo Una-una;2024;75,08;2,47
Tojo Una-una;2025;74,98;2,73
Sigi;2018;69,1;3,78
Sigi;2019;69,16;2,54
Sigi;2020;69,24;3,36
Sigi;2021;70,76;2,38
Sigi;2022;72,69;3,02
Sigi;2023;70,94;2,6
Sigi;2024;75,92;2,55
Sigi;2025;76,03;2,3
Banggai Laut;2018;69,3;3,35
Banggai Laut;2019;65,41;3,04
Banggai Laut;2020;67,2;3,09
Banggai Laut;2021;61,42;3,35
Banggai Laut;2022;58,37;3,6
Banggai Laut;2023;59,17;3,64
Banggai Laut;2024;68,98;3,6
Banggai Laut;2025;68,59;3,69
Morowali Utara;2018;75,45;2,12
Morowali Utara;2019;65,76;3,05
Morowali Utara;2020;69,85;5,16
Morowali Utara;2021;68,47;2,98
Morowali Utara;2022;69,93;2,25
Morowali Utara;2023;70,33;2,23
Morowali Utara;2024;70,35;2,38
Morowali Utara;2025;70,39;2,38
Kota Palu;2018;65,82;5,81
Kota Palu;2019;65,63;6,32
Kota Palu;2020;66,46;8,38
Kota Palu;2021;65,07;7,61
Kota Palu;2022;64,68;6,15
Kota Palu;2023;69,28;5,65
Kota Palu;2024;70,5;5,63
Kota Palu;2025;70,56;5,59
